account,duration,credit_history,purpose,amount,savings,employment,installment_rate,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,target
0,18,4,furniture,3780,1,1,3,1,2,35,2,3,1,1,yes,0,0,1,0,male,1
1,24,2,car_new,1246,1,1,4,1,2,23,1,1,1,0,yes,1,0,0,0,male,0
0,15,2,car_used,3029,1,3,2,1,2,33,1,2,1,0,yes,0,0,1,0,male,1
0,36,3,television,4463,1,2,4,1,2,26,2,3,1,1,yes,0,0,1,0,male,0
-1,27,2,television,3416,1,2,3,1,2,27,1,3,1,0,yes,0,0,1,0,male,1
-1,24,3,car_new,1333,1,0,4,1,2,43,2,2,2,0,yes,1,0,0,0,male,0
0,15,2,car_new,5324,3,4,1,1,4,35,1,2,1,0,yes,0,0,0,0,female,1
1,30,4,car_new,4249,1,0,4,1,2,28,2,3,1,0,yes,0,0,1,0,female,0
0,15,4,furniture,2788,1,3,2,0,3,24,2,2,1,0,yes,0,0,1,0,female,1
1,12,2,car_new,1223,1,4,1,1,1,46,2,2,1,0,yes,1,0,0,1,male,0
1,21,2,business,1188,1,4,2,1,4,39,1,2,2,0,yes,0,1,0,0,female,0
0,4,4,television,1544,1,3,2,1,1,42,3,1,2,0,yes,1,0,0,0,male,1
-1,24,3,television,1024,1,1,4,1,4,48,1,2,1,0,yes,1,0,0,0,female,0
1,20,3,others,2629,1,2,2,1,3,29,2,2,1,1,yes,0,0,1,0,male,1
-1,36,3,education,6887,1,2,4,1,3,29,1,2,1,1,yes,0,1,0,0,male,0
0,24,1,business,1559,1,3,4,1,4,50,1,2,1,1,yes,0,0,1,0,male,1
1,30,0,business,4280,2,2,4,1,4,26,2,1,1,0,yes,0,0,1,1,female,0
1,48,4,furniture,5096,1,2,2,1,3,30,1,3,1,1,yes,0,0,1,0,female,0
0,18,2,furniture,1984,1,2,4,1,4,47,2,2,1,0,yes,0,0,0,0,male,1
-1,6,4,television,1957,1,3,1,1,4,31,1,2,1,0,yes,0,0,1,0,female,1
0,24,3,business,8648,1,1,2,1,2,27,2,2,1,1,yes,0,0,1,0,male,0
0,6,4,television,700,0,4,4,1,4,36,2,2,1,0,yes,0,0,0,0,male,1
-1,24,1,furniture,6872,1,1,2,1,1,55,1,2,1,1,yes,0,1,0,0,male,0
-1,24,1,business,3161,1,2,4,1,2,31,1,2,1,1,yes,0,1,0,1,male,0
0,9,2,education,3832,0,4,1,1,4,64,1,1,1,0,yes,1,0,0,0,male,1
1,48,2,business,15672,1,2,2,1,2,23,1,2,1,1,yes,0,0,1,0,male,0
1,48,1,car_new,12169,0,0,4,0,4,36,1,3,1,1,yes,0,0,0,0,male,1
-1,10,4,furniture,2132,0,1,2,0,3,27,2,2,1,0,no,1,0,0,1,female,1
0,30,4,television,5954,1,3,3,0,2,38,1,2,1,0,yes,0,0,1,0,male,1
0,6,2,furniture,1766,1,2,1,1,2,21,1,2,1,0,yes,0,1,0,1,female,1
1,21,2,furniture,3976,0,3,2,1,3,35,1,2,1,1,yes,0,0,1,0,male,1
0,36,4,car_used,11054,0,2,4,1,2,30,1,3,1,1,yes,0,0,1,0,male,1
0,18,4,education,1864,2,2,4,1,2,30,2,2,1,0,yes,1,0,0,0,female,0
0,12,2,television,2141,2,3,3,1,1,35,1,2,1,0,yes,0,0,0,0,male,1
1,27,4,television,2520,3,2,4,1,2,23,2,1,1,0,yes,0,1,0,0,male,0
1,15,1,car_new,6850,2,0,1,1,2,34,1,3,2,1,yes,0,1,0,0,male,0
1,36,3,car_new,8086,2,4,2,1,4,42,4,3,1,1,yes,0,0,1,0,male,0
-1,21,2,television,1835,1,2,3,1,2,25,2,2,1,1,yes,1,0,0,0,female,0
1,12,2,car_new,1295,1,1,3,1,1,25,1,2,1,0,yes,0,0,1,1,female,0
-1,36,3,business,2145,1,3,2,1,1,24,2,2,1,1,yes,0,0,1,0,male,0
-1,24,2,car_new,1381,0,2,4,1,2,35,1,2,1,0,yes,0,1,0,0,female,0
0,12,3,repairs,1555,4,4,4,1,4,55,2,2,2,0,yes,0,0,0,0,male,0
-1,18,2,car_new,2249,2,3,4,1,3,30,1,3,2,1,yes,0,0,1,0,male,1
1,18,4,furniture,7374,1,0,4,1,4,40,2,3,1,1,yes,0,1,0,0,male,1
1,18,4,furniture,1928,1,1,2,1,2,31,2,1,1,0,yes,1,0,0,0,male,0
0,33,4,car_used,7253,1,3,3,1,2,35,2,3,1,1,yes,0,0,1,0,male,1
1,9,1,car_new,1437,2,3,2,1,3,29,1,2,1,0,yes,0,0,0,0,male,0
0,12,0,furniture,2759,1,4,2,1,4,34,2,2,1,0,yes,0,1,0,0,male,1
0,30,1,car_used,7485,0,0,4,1,1,53,1,3,1,1,yes,1,0,0,0,female,0
0,12,2,television,1262,1,2,3,1,2,25,1,2,1,0,yes,0,0,1,0,male,1
0,24,2,car_new,1525,4,3,4,1,3,34,1,2,2,1,yes,0,0,1,0,female,1
-1,10,4,car_new,2241,1,1,1,1,3,48,2,1,2,0,no,1,0,0,1,male,1
0,18,4,television,1582,4,4,4,1,4,46,2,2,1,0,yes,0,0,1,0,male,1
1,60,2,education,6288,1,2,4,1,4,42,1,2,1,0,yes,0,0,0,0,male,0
0,18,2,business,1950,1,3,4,1,1,34,2,2,1,1,yes,0,0,1,0,male,1
1,12,2,television,1484,0,2,2,1,1,25,1,2,1,1,yes,1,0,0,0,female,0
1,24,0,business,4241,1,2,1,1,4,36,3,1,1,1,yes,1,0,0,0,male,0
-1,24,1,television,1546,1,3,4,0,4,24,1,1,1,0,yes,0,0,1,1,male,0
1,9,4,furniture,1919,1,3,4,1,3,35,1,2,1,1,yes,0,0,1,1,male,1
-1,18,2,car_new,1216,1,1,4,1,3,23,1,2,1,1,yes,0,0,1,1,female,0
1,9,2,furniture,918,1,2,4,1,1,30,1,2,1,0,yes,0,1,0,0,female,0
0,24,2,car_new,3757,1,4,4,0,4,62,1,2,1,1,yes,0,0,0,0,female,1
-1,24,1,furniture,3349,3,1,4,1,4,30,1,2,2,1,yes,0,0,0,0,male,0
1,36,0,television,3804,1,2,4,1,1,42,1,2,1,1,yes,0,0,1,0,female,0
0,12,4,furniture,1935,1,4,4,1,4,43,3,2,1,1,yes,1,0,0,0,male,1
-1,45,2,television,1845,1,2,4,1,4,23,1,2,1,1,yes,0,0,0,0,male,0
-1,12,2,education,795,1,1,4,1,4,53,1,2,1,0,yes,0,1,0,0,female,0
1,9,2,television,1670,1,1,4,1,2,22,1,2,1,1,yes,0,0,1,0,female,0
1,9,2,car_new,276,1,2,4,1,4,22,1,1,1,0,yes,1,0,0,1,female,1
0,60,4,car_new,13756,0,4,2,1,4,63,1,3,1,1,yes,0,0,0,0,male,1
-1,24,2,car_new,1371,0,2,4,1,4,25,1,2,1,0,yes,1,0,0,1,female,0
-1,20,4,car_new,2235,1,2,4,0,2,33,2,2,1,0,no,0,1,0,1,female,0
1,39,3,education,11760,2,3,2,1,3,32,1,2,1,1,yes,0,0,0,1,male,1
-1,48,1,business,7685,1,3,2,0,4,37,1,2,1,0,yes,0,0,1,1,female,0
1,15,2,car_new,2631,2,2,2,1,4,28,2,2,1,1,yes,0,0,1,1,female,0
0,12,4,furniture,1258,1,1,2,1,4,22,2,1,1,0,yes,0,1,0,1,female,1
0,6,2,car_new,672,1,0,1,1,4,54,1,0,1,1,yes,1,0,0,0,female,1
0,24,2,car_new,2255,0,1,4,1,1,54,1,2,1,0,yes,0,1,0,0,male,1
1,24,3,car_new,1965,0,2,4,1,4,42,2,2,1,1,yes,0,0,1,1,female,1
1,36,2,car_used,9398,1,1,1,1,4,28,1,3,1,1,yes,0,0,1,1,female,0
0,24,2,television,2397,3,4,3,1,2,35,2,2,1,1,yes,0,0,1,0,male,0
0,6,2,furniture,1543,4,2,4,1,2,33,1,2,1,0,yes,1,0,0,0,male,1
2,10,4,car_new,781,1,4,4,1,4,63,2,2,1,1,yes,0,0,0,0,male,1
1,16,4,car_new,1175,1,0,2,1,3,68,3,0,1,1,yes,0,0,1,0,male,1
0,36,2,furniture,3349,1,2,4,1,2,28,1,3,1,1,yes,0,0,1,0,female,0
1,30,4,car_new,5234,1,0,4,1,2,28,2,3,1,0,yes,0,0,1,0,female,0
-1,6,4,car_new,666,4,3,3,1,4,39,2,1,1,1,yes,1,0,0,0,female,1
1,15,4,television,2728,0,3,4,0,2,35,3,2,1,1,yes,1,0,0,0,male,1
-1,6,4,furniture,1872,1,0,4,1,4,36,3,3,1,1,yes,0,0,0,0,male,1
-1,24,2,television,1282,2,2,4,1,2,32,1,1,1,0,yes,0,0,1,0,female,0
0,12,2,television,776,1,2,4,1,2,28,1,2,1,0,yes,1,0,0,0,female,1
0,18,3,business,2169,1,2,4,1,2,28,1,2,1,1,yes,0,0,1,0,female,0
-1,42,2,television,3965,1,1,4,1,3,34,1,2,1,0,yes,0,0,1,0,male,0
0,24,2,business,4591,4,2,2,1,3,54,3,3,1,1,yes,0,1,0,0,male,0
1,8,2,furniture,1237,1,2,3,1,4,24,1,2,1,0,yes,1,0,0,0,female,0
1,36,3,car_new,2225,1,4,4,1,4,57,2,2,1,1,yes,0,0,0,0,male,0
1,9,2,television,2118,1,2,2,1,2,37,1,1,2,0,yes,1,0,0,0,male,1
1,9,1,car_used,5129,1,4,2,1,4,74,1,3,2,1,yes,0,0,0,0,female,0
2,18,2,furniture,2864,1,2,2,1,1,34,1,1,2,0,yes,1,0,0,0,male,0
-1,24,2,furniture,3345,1,4,4,1,2,39,1,3,1,1,yes,0,1,0,1,male,0
-1,12,1,television,626,1,2,4,1,4,24,1,1,1,0,yes,1,0,0,0,female,0
1,13,2,television,2101,1,1,2,0,4,23,1,1,1,0,yes,0,1,0,0,female,1
1,48,2,television,5951,1,2,2,1,2,22,1,2,1,0,yes,1,0,0,0,female,0
1,12,2,furniture,3017,1,1,3,1,1,34,1,3,1,0,yes,1,0,0,1,female,1
-1,15,2,business,806,1,2,4,1,4,22,1,1,1,0,yes,0,1,0,0,female,1
-1,18,2,car_used,7511,0,4,1,1,4,51,1,2,2,1,yes,0,1,0,0,male,0
1,12,4,television,3573,1,2,1,1,1,23,1,1,1,0,yes,1,0,0,0,female,1
0,30,4,car_used,7596,0,4,1,1,4,63,2,2,1,0,yes,0,0,1,0,male,1
-1,24,2,car_new,915,0,4,4,1,2,29,1,2,1,0,yes,0,0,1,0,female,0
1,12,2,business,841,2,3,2,1,4,23,1,1,1,0,yes,1,0,0,1,female,1
0,15,2,car_used,1300,0,4,4,1,4,45,1,2,2,0,yes,0,0,0,0,male,1
1,18,2,furniture,1924,0,1,4,1,3,27,1,2,1,0,yes,1,0,0,1,female,0
1,12,2,repairs,639,1,2,4,1,2,30,1,2,1,0,yes,0,0,1,0,male,0
1,48,3,education,6224,1,4,4,1,4,50,1,2,1,0,yes,0,0,0,0,male,0
1,12,2,business,1037,2,3,3,1,4,39,1,1,1,0,yes,1,0,0,0,male,1
1,48,0,others,18424,1,2,1,1,2,32,1,3,1,1,no,0,1,0,0,female,0
-1,12,1,car_new,697,1,1,4,1,2,46,2,2,1,1,yes,0,0,1,0,male,0
2,12,4,car_new,1480,3,0,2,1,4,66,3,0,1,0,yes,0,0,0,0,male,1
-1,18,2,television,3190,1,2,2,1,2,24,1,2,1,0,yes,1,0,0,0,female,0
1,45,2,television,3031,2,2,4,0,4,21,1,2,1,0,yes,0,1,0,1,male,0
0,18,4,television,2404,1,2,2,1,2,26,2,2,1,0,yes,0,0,1,0,female,1
0,24,4,television,5103,1,1,3,1,3,47,3,2,1,1,yes,0,0,0,0,female,1
0,10,2,car_new,1309,0,2,4,0,4,27,1,1,1,0,yes,0,1,0,0,male,0
1,48,2,television,3060,1,3,4,1,4,28,2,2,1,0,yes,1,0,0,0,male,0
0,21,2,car_used,2476,0,4,4,1,4,46,1,3,1,1,yes,1,0,0,0,male,1
-1,8,4,others,1164,1,4,3,1,4,51,2,3,2,1,yes,0,0,0,0,male,1
1,18,4,furniture,6361,1,4,2,1,1,41,1,2,1,1,yes,0,0,0,0,male,1
0,24,2,television,1533,1,1,4,1,3,38,1,2,1,1,yes,0,0,1,0,female,1
1,9,4,education,1501,1,4,2,1,3,34,2,3,1,1,yes,0,0,1,0,female,0
0,54,0,car_used,9436,0,2,2,1,2,39,1,1,2,0,yes,0,1,0,0,male,1
0,18,2,television,1473,1,1,3,1,4,39,1,2,1,1,yes,1,0,0,0,female,1
-1,12,1,television,2149,1,2,4,1,1,29,1,2,1,0,yes,0,0,0,0,male,0
1,24,2,car_used,11560,1,2,1,1,4,23,2,3,1,0,yes,0,0,1,1,female,0
-1,9,2,car_new,1422,1,1,3,1,2,27,1,3,1,1,yes,0,0,0,0,male,0
-1,15,2,car_new,3959,1,2,3,1,2,29,1,2,1,1,yes,0,1,0,0,female,0
-1,21,1,car_new,1647,0,2,4,1,2,40,2,1,2,0,yes,0,1,0,0,male,0
1,60,3,television,7418,0,2,1,1,1,27,1,1,1,0,yes,1,0,0,0,male,1
-1,6,2,education,448,1,1,4,1,4,23,1,2,1,0,yes,0,1,0,0,female,0
1,24,2,car_used,4113,3,1,3,1,4,28,1,2,1,0,yes,0,0,1,1,female,0
1,24,2,others,11328,1,2,2,0,3,29,2,3,1,1,yes,0,0,1,0,male,0
-1,12,2,car_new,2579,1,1,4,1,1,33,1,1,2,0,yes,1,0,0,0,male,0
0,18,2,television,433,1,0,3,0,4,22,1,2,1,0,yes,1,0,0,1,female,0
-1,24,2,business,6568,1,2,2,1,2,21,1,1,1,0,yes,0,0,1,0,female,1
-1,6,1,education,1198,1,4,4,1,4,35,1,2,1,0,yes,0,0,0,0,female,0
0,15,2,car_used,3812,2,1,1,1,4,23,1,2,1,1,yes,0,0,1,0,female,1
0,24,4,television,1851,1,3,4,0,2,33,2,2,1,1,yes,0,0,1,0,female,1
0,48,4,education,6110,1,2,1,1,3,31,1,2,1,1,yes,0,0,0,0,male,1
0,12,2,television,3059,4,3,2,1,4,61,1,1,1,0,yes,1,0,0,0,male,1
1,18,2,business,1941,4,2,4,1,2,35,1,1,1,1,yes,0,1,0,0,male,1
1,18,0,car_new,2278,2,1,3,1,3,28,2,2,1,0,yes,0,0,1,0,female,0
1,24,4,car_used,7758,4,4,2,1,4,29,1,2,1,0,yes,0,0,0,1,female,1
0,36,4,car_new,7855,1,2,4,1,2,25,2,2,1,1,yes,1,0,0,0,female,0
1,9,4,education,1136,4,4,4,1,3,32,2,2,2,0,yes,0,0,0,0,male,0
1,10,2,furniture,1521,1,2,4,1,2,31,1,1,1,0,yes,0,0,1,0,male,1
-1,12,2,furniture,1858,1,1,4,1,1,22,1,2,1,0,yes,0,0,1,1,female,1
0,18,2,car_new,2662,0,3,4,1,3,32,1,2,1,0,no,0,1,0,0,male,1
1,60,2,car_new,14027,1,3,4,1,2,27,1,3,1,1,yes,0,0,0,0,male,0
0,9,4,television,3074,0,2,1,1,2,33,2,2,2,0,yes,1,0,0,0,male,1
-1,6,2,domestic_appliances,343,1,1,4,1,1,27,1,2,1,0,yes,1,0,0,0,female,1
2,4,2,car_new,1494,0,1,1,1,2,29,1,1,2,0,no,1,0,0,0,male,1
0,24,4,car_used,2197,0,3,4,1,4,43,2,2,2,1,yes,0,0,1,0,male,1
0,24,4,car_new,1287,4,4,4,1,4,37,2,2,1,1,yes,1,0,0,0,female,1
-1,24,3,car_new,4870,1,2,3,1,4,53,2,2,2,0,yes,0,0,0,0,male,0
-1,12,2,car_new,1274,1,1,3,1,1,37,1,1,1,0,yes,1,0,0,0,female,0
-1,48,0,furniture,7119,1,2,3,1,4,53,2,2,2,0,yes,0,0,0,0,male,0
2,18,2,television,2100,1,2,4,0,2,37,1,2,1,0,yes,1,0,0,0,male,0
0,15,4,furniture,3343,1,2,4,1,2,28,1,2,1,1,yes,0,0,0,0,male,1
-1,36,2,car_used,5493,1,4,2,1,4,42,1,2,2,0,yes,0,0,0,0,male,1
0,9,2,furniture,1980,1,1,2,0,2,19,2,2,1,0,yes,0,0,1,1,female,0
-1,18,0,furniture,3114,1,1,1,1,4,26,1,2,1,0,yes,0,1,0,1,female,0
1,12,2,car_new,1318,4,4,4,1,4,54,1,2,1,1,yes,1,0,0,0,male,1
0,15,4,television,1459,1,2,4,1,2,43,1,1,1,0,yes,0,0,1,0,female,1
0,11,4,car_new,7228,1,2,1,1,4,39,2,1,1,0,yes,0,1,0,0,male,1
1,24,2,car_new,3512,2,3,2,1,3,38,2,2,1,1,yes,0,0,1,0,male,1
0,24,2,furniture,2835,3,4,3,1,4,53,1,2,1,0,yes,0,1,0,0,male,1
0,15,4,furniture,1520,0,4,4,1,4,63,1,2,1,0,yes,0,1,0,0,male,1
0,28,4,television,2743,1,4,4,1,2,29,2,2,1,0,yes,0,0,1,0,male,1
-1,12,2,domestic_appliances,741,2,0,4,1,3,22,1,2,1,0,yes,0,1,0,0,female,0
1,24,4,furniture,4736,1,1,2,1,4,25,1,1,1,0,yes,0,0,1,0,female,0
1,45,4,television,4746,1,1,4,1,2,25,2,1,1,0,yes,0,1,0,0,male,0
2,10,2,furniture,1275,1,1,4,1,2,23,1,2,1,0,yes,0,1,0,0,female,1
-1,24,2,furniture,3149,1,1,4,1,1,22,1,2,1,0,yes,0,0,0,0,male,1
0,18,2,furniture,2515,1,2,3,1,4,43,1,2,1,1,yes,1,0,0,0,male,1
-1,30,2,furniture,3108,1,1,2,1,4,31,1,1,1,0,yes,0,1,0,0,male,0
1,48,3,business,6681,0,2,4,1,4,38,1,2,2,1,yes,0,0,0,0,male,1
0,24,4,education,1927,0,2,3,1,2,33,2,2,1,1,yes,0,0,1,0,female,1
0,12,2,business,1076,1,2,2,1,2,26,1,2,1,1,no,1,0,0,0,female,1
1,24,2,television,3092,2,1,3,1,2,22,1,2,1,1,yes,0,0,1,1,female,0
-1,48,4,car_used,6331,1,4,4,1,4,46,2,2,1,1,yes,0,0,0,0,male,0
-1,12,0,repairs,1108,1,3,4,1,3,28,2,2,1,0,yes,1,0,0,0,male,0
0,24,2,television,3235,3,4,3,1,2,26,1,3,1,1,yes,0,0,1,0,male,1
0,6,0,television,426,1,4,4,1,4,39,1,1,1,0,yes,0,0,1,0,female,1
2,30,3,business,1908,1,4,4,1,4,66,1,3,1,1,yes,1,0,0,0,male,0
-1,24,2,furniture,3234,1,1,4,1,4,23,1,1,1,1,yes,1,0,0,1,female,0
-1,36,4,furniture,2348,1,2,3,1,2,46,2,2,1,1,yes,0,1,0,0,female,1
1,36,2,education,2273,1,3,3,1,1,32,2,2,2,0,yes,0,0,1,0,male,1
1,36,2,television,2671,2,2,4,0,4,50,1,2,1,0,yes,0,0,0,0,female,0
