account,duration,credit_history,purpose,amount,savings,employment,installment_rate,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,target
-1,30,2,furniture,3622,4,4,4,1,4,57,2,2,1,1,yes,0,1,0,1,female,1
1,36,3,car_new,2862,2,4,4,1,3,30,1,2,1,0,yes,0,0,0,0,male,1
-1,18,2,furniture,4153,1,2,2,0,3,42,1,2,1,0,yes,0,0,1,0,male,0
-1,24,2,furniture,3021,1,2,2,1,2,24,1,1,1,0,yes,1,0,0,1,male,1
-1,18,4,car_new,3966,1,4,1,1,4,33,3,2,1,1,yes,1,0,0,1,female,0
0,36,2,furniture,10974,1,0,4,1,2,26,2,3,1,1,yes,0,0,1,0,female,0
1,12,2,television,766,3,2,4,1,3,66,1,1,1,0,yes,1,0,0,0,male,0
0,48,4,car_new,10127,3,2,2,1,2,44,1,2,1,0,yes,0,0,0,0,male,0
1,48,1,business,3566,2,3,4,1,2,30,1,2,1,0,yes,0,0,1,0,male,1
-1,30,4,car_used,6187,2,3,1,1,4,24,2,2,1,0,yes,0,0,1,1,female,1
-1,36,4,car_used,9629,1,3,4,1,4,24,2,2,1,1,yes,0,0,1,0,male,0
0,12,4,business,1412,1,2,4,0,2,29,2,3,1,1,yes,1,0,0,0,female,1
0,24,2,car_new,1474,2,1,4,1,3,33,1,2,1,1,yes,1,0,0,0,female,1
0,48,2,business,4844,1,0,3,1,2,33,1,3,1,1,yes,0,0,1,1,male,0
0,24,4,car_used,3868,1,4,4,1,2,41,2,3,1,1,yes,0,0,1,1,female,1
1,30,4,furniture,8386,1,3,2,1,2,49,1,2,1,0,yes,0,1,0,0,male,0
0,48,4,car_used,11590,2,2,2,1,4,24,2,1,1,0,yes,0,0,1,1,female,0
0,21,3,business,2580,3,1,4,1,2,41,1,1,2,0,yes,1,0,0,0,male,0
-1,12,4,car_new,3499,1,2,3,0,2,29,2,2,1,0,yes,1,0,0,0,female,0
-1,42,2,furniture,7882,1,3,2,0,4,45,1,2,2,0,yes,0,1,0,0,male,1
1,7,2,television,2415,1,2,3,0,2,34,1,2,1,0,yes,1,0,0,0,male,1
0,14,3,car_new,802,1,2,4,1,2,27,2,1,1,0,yes,0,0,1,0,male,1
1,12,4,car_new,1995,2,1,4,1,1,27,1,2,1,0,yes,0,0,1,0,male,1
0,12,4,car_new,1495,1,4,4,1,1,38,2,1,2,0,yes,1,0,0,0,male,1
-1,15,3,furniture,3643,1,4,1,1,4,27,2,1,1,0,yes,0,1,0,0,female,1
2,9,2,television,745,1,2,3,1,2,28,1,1,1,0,yes,1,0,0,0,female,0
1,6,2,car_new,14555,0,0,1,1,2,23,1,0,1,1,yes,0,1,0,0,male,0
0,36,2,car_new,909,3,4,4,1,4,36,1,2,1,0,yes,0,1,0,0,male,1
-1,12,2,retraining,902,1,3,4,1,4,21,1,2,1,0,yes,0,1,0,1,female,0
-1,15,2,car_new,1403,1,2,2,1,4,28,1,2,1,0,yes,0,0,1,1,female,1
-1,30,2,repairs,11998,1,1,1,1,1,34,1,1,1,1,yes,0,0,0,0,male,0
-1,15,2,domestic_appliances,1275,0,2,4,1,2,24,1,2,1,0,yes,0,0,1,1,female,0
-1,30,2,furniture,6350,0,4,4,1,4,31,1,2,1,0,yes,0,1,0,0,male,0
1,20,3,car_used,7057,0,3,3,1,4,36,2,3,2,1,yes,0,1,0,1,male,1
0,36,4,television,3342,0,4,4,1,2,51,1,2,1,1,yes,0,0,1,0,male,1
0,6,4,furniture,1221,0,2,1,1,2,27,2,2,1,0,yes,0,1,0,0,female,1
-1,12,4,car_used,1409,1,4,4,1,3,54,1,2,1,0,yes,1,0,0,0,male,1
-1,18,2,car_new,976,1,1,1,1,2,23,1,1,1,0,yes,0,0,1,0,female,0
-1,36,2,car_new,9271,1,3,2,1,1,24,1,2,1,1,yes,0,0,1,0,male,0
1,6,1,education,433,4,1,4,1,2,24,1,2,2,0,yes,0,1,0,1,female,0
-1,36,2,furniture,3620,1,2,1,0,2,37,1,2,2,0,yes,0,1,0,0,male,1
-1,18,0,business,3104,1,3,3,1,1,31,1,2,1,1,yes,0,1,0,0,male,1
0,12,4,car_new,1255,1,4,4,1,4,61,2,1,1,0,yes,1,0,0,0,male,1
-1,12,4,furniture,2246,1,4,3,1,3,60,2,2,1,0,yes,0,1,0,0,male,0
1,21,2,business,2767,2,4,4,1,2,61,2,1,1,0,yes,0,0,1,1,male,0
-1,18,1,furniture,1553,1,2,4,1,3,44,1,2,1,0,yes,0,0,1,0,male,0
-1,48,2,business,4308,1,1,3,1,4,24,1,2,1,0,yes,0,1,0,1,female,0
1,24,2,television,5084,0,4,2,1,4,42,1,2,1,1,yes,0,0,1,0,female,1
0,24,2,television,1901,2,2,4,1,4,29,1,3,1,1,yes,0,0,1,1,male,1
1,30,1,furniture,3496,4,2,4,1,2,34,1,2,2,1,yes,0,0,1,0,male,1
-1,36,4,furniture,6229,1,1,4,0,4,23,2,1,1,1,yes,0,0,0,1,female,0
1,60,2,car_new,7408,2,1,4,1,2,24,1,3,1,0,yes,0,1,0,0,female,0
0,24,2,furniture,5511,2,2,4,1,1,25,1,2,1,0,yes,0,0,1,0,male,1
1,12,2,car_new,685,1,3,2,1,3,25,1,1,1,0,yes,0,0,1,0,female,0
1,12,2,television,1534,1,1,1,1,1,23,1,2,1,0,yes,1,0,0,1,female,0
1,12,0,furniture,2969,1,1,4,1,3,25,2,2,1,0,yes,0,1,0,1,female,0
0,12,4,business,1264,0,4,4,1,4,57,1,1,1,0,yes,0,0,0,1,male,1
-1,12,4,car_used,1526,1,4,4,1,4,66,2,3,1,0,yes,0,0,0,0,male,1
1,15,2,repairs,2631,2,2,3,1,2,25,1,1,1,0,yes,1,0,0,0,female,1
-1,12,4,car_new,4843,1,4,3,0,4,43,2,2,1,1,yes,0,1,0,1,male,0
-1,9,2,television,1364,1,3,3,1,4,59,1,2,1,0,yes,1,0,0,0,male,1
-1,30,2,furniture,2406,1,3,4,1,4,23,1,2,1,0,yes,1,0,0,1,female,0
-1,12,2,car_new,1228,1,2,4,1,2,24,1,1,1,0,yes,1,0,0,0,female,0
1,15,2,television,802,1,4,4,1,3,37,1,2,2,0,yes,0,0,1,0,male,0
2,15,4,car_used,2360,3,2,2,1,2,36,1,2,1,1,yes,0,0,1,0,male,1
-1,21,2,furniture,3599,1,3,1,1,4,26,1,1,1,0,yes,0,0,1,1,female,1
2,30,4,television,3017,1,4,4,1,4,47,1,2,1,0,yes,0,1,0,0,male,1
0,12,2,furniture,1123,3,2,4,1,4,29,1,1,1,0,yes,0,0,1,1,female,0
-1,12,2,car_new,3651,4,2,1,1,3,31,1,2,2,0,yes,0,1,0,0,male,1
-1,60,2,business,7297,1,4,4,0,4,36,1,2,1,0,yes,0,0,0,1,male,0
-1,36,2,education,1977,0,4,4,1,4,40,1,3,1,1,yes,0,0,0,0,male,0
0,24,4,television,2578,4,4,2,1,2,34,1,2,1,0,yes,0,0,1,0,male,1
-1,48,0,car_used,4605,1,4,3,1,4,24,2,2,2,0,yes,0,0,0,0,male,0
0,12,2,television,2279,0,2,4,1,4,37,1,2,1,1,yes,0,0,0,0,male,1
-1,12,2,television,701,1,2,4,1,2,40,1,1,1,0,yes,1,0,0,0,female,1
-1,12,2,car_new,1372,1,3,2,1,3,36,1,2,1,0,yes,0,0,1,0,male,0
-1,30,0,business,8072,0,1,2,1,3,25,3,2,1,0,yes,0,0,1,0,male,1
2,6,2,furniture,2116,1,2,2,1,2,41,1,2,1,1,yes,1,0,0,0,male,1
0,15,2,car_used,4657,1,2,3,1,2,30,1,2,1,1,yes,0,0,1,0,male,1
-1,24,3,television,1659,1,1,4,1,2,29,1,1,1,1,yes,0,0,1,1,female,0
1,24,3,furniture,2333,0,1,4,1,2,29,1,1,1,0,yes,0,1,0,0,male,1
2,12,2,television,3016,1,2,3,1,1,24,1,2,1,0,yes,0,0,1,0,female,1
-1,15,0,car_new,950,1,4,4,1,3,33,2,2,2,0,yes,0,0,1,1,male,0
-1,12,2,furniture,1657,1,2,2,1,2,27,1,2,1,0,yes,1,0,0,0,male,1
0,6,0,car_new,1204,2,2,4,1,1,35,1,2,1,0,no,0,0,0,1,male,1
0,24,2,car_used,3488,2,3,3,1,4,23,1,2,1,0,yes,0,0,1,0,female,1
-1,24,2,car_new,1285,0,3,4,1,4,32,1,2,1,0,yes,0,0,0,1,female,0
0,24,2,television,1376,3,3,4,1,1,28,1,2,1,0,yes,0,0,1,0,female,1
1,18,4,television,1245,1,2,4,1,2,33,1,2,1,0,yes,0,0,1,0,female,0
0,24,2,television,1552,1,3,3,1,1,32,1,2,2,0,yes,0,0,1,0,male,1
1,26,2,car_used,7966,1,1,2,1,3,30,2,2,1,0,yes,0,0,1,0,male,1
-1,9,2,television,1366,1,1,3,1,4,22,1,2,1,0,yes,0,1,0,1,female,0
1,6,2,television,484,1,3,3,0,3,28,1,1,1,0,yes,1,0,0,0,female,1
0,39,2,car_used,2569,3,2,4,1,4,24,1,2,1,0,yes,0,0,1,0,male,1
1,18,2,car_used,12976,1,0,3,1,4,38,1,3,1,1,yes,0,0,0,0,female,0
0,18,1,car_new,6458,1,4,2,1,4,39,2,3,2,1,yes,0,0,0,0,male,0
1,36,2,television,2323,1,3,4,1,4,24,1,2,1,0,yes,0,0,1,1,male,1
-1,18,2,furniture,2462,1,2,2,1,2,22,1,2,1,0,yes,0,0,1,0,male,0
0,10,4,furniture,2069,0,2,2,1,1,26,2,2,1,0,no,0,0,1,0,female,1
-1,36,2,furniture,3446,1,4,4,1,2,42,1,2,2,0,yes,0,0,1,0,male,0
-1,12,2,furniture,2577,1,2,2,1,1,42,1,2,1,0,yes,0,0,1,0,male,1
-1,12,2,car_used,3386,1,4,3,1,4,35,1,2,1,1,yes,0,0,0,0,male,0
0,12,4,repairs,996,0,3,4,1,4,23,2,2,1,0,yes,1,0,0,0,female,1
1,72,2,television,5595,2,2,2,1,2,24,1,2,1,0,yes,0,0,1,0,female,0
1,12,2,car_new,1007,4,2,4,1,1,22,1,2,1,0,yes,1,0,0,0,female,1
2,24,4,car_new,1344,0,3,4,1,2,37,2,1,2,0,yes,1,0,0,0,male,0
2,15,2,education,1905,1,4,4,1,4,40,1,3,1,1,yes,0,0,1,1,male,1
1,15,2,television,1444,0,1,4,1,1,23,1,2,1,0,yes,0,1,0,0,male,1
1,12,0,retraining,1410,1,2,2,1,2,31,1,1,1,1,yes,1,0,0,0,male,1
0,36,2,education,1819,1,2,4,1,4,37,1,2,1,1,yes,0,0,0,0,male,0
1,48,2,television,10961,4,3,1,0,2,27,2,2,1,1,yes,0,0,0,0,male,0
-1,18,4,car_new,5302,1,4,2,1,4,36,3,3,1,1,yes,0,0,0,0,male,1
-1,12,2,furniture,1282,1,2,2,1,4,20,1,2,1,0,yes,0,0,1,1,female,0
0,24,2,television,1311,2,3,4,1,3,26,1,2,1,1,yes,0,1,0,0,female,1
0,12,4,television,976,0,4,4,1,4,35,2,2,1,0,yes,0,0,1,0,male,1
0,18,4,car_new,2775,1,3,2,1,2,31,2,2,1,0,yes,0,1,0,0,male,0
1,8,2,television,760,1,3,4,0,2,44,1,1,1,0,yes,1,0,0,0,female,1
2,18,2,furniture,3049,1,1,1,1,1,45,1,1,1,0,yes,0,1,0,0,female,1
1,24,2,furniture,4057,1,3,3,1,3,43,1,2,1,1,yes,0,0,1,0,male,0
-1,36,2,others,15857,1,0,2,0,3,43,1,3,1,0,yes,0,0,1,0,male,1
0,36,3,business,7980,0,1,4,1,4,27,2,2,1,1,yes,0,0,1,1,male,0
0,18,4,car_used,3850,1,3,3,1,1,27,2,2,1,0,yes,0,0,1,0,male,1
-1,12,2,television,674,2,3,4,1,1,20,1,2,1,0,yes,0,1,0,0,female,0
1,48,0,business,14421,1,2,2,1,2,25,1,2,1,1,yes,0,0,1,0,male,0
-1,18,4,repairs,1190,1,0,2,1,4,55,3,0,2,0,yes,0,0,0,0,female,0
0,60,2,car_new,6527,0,2,4,1,4,34,1,2,2,1,yes,0,0,0,0,male,1
0,6,4,television,1237,2,2,1,1,1,27,2,2,1,0,yes,0,1,0,0,female,1
1,18,4,car_new,1056,1,4,3,0,3,30,2,2,1,0,yes,1,0,0,0,male,0
0,15,2,television,1213,3,4,4,1,3,47,1,2,1,1,yes,0,1,0,0,male,1
1,12,2,furniture,2762,0,4,1,1,2,25,1,2,1,1,yes,0,1,0,0,female,0
1,24,4,television,1216,2,1,4,1,4,38,2,2,2,0,yes,0,0,0,0,male,0
-1,6,4,television,1169,0,4,4,1,4,67,2,2,1,1,yes,1,0,0,0,male,1
0,21,2,car_new,2782,3,3,1,1,2,31,1,3,1,0,yes,0,0,1,0,female,1
0,39,2,car_used,8588,2,4,4,1,2,45,1,3,1,1,yes,0,0,1,0,male,1
-1,24,2,car_new,3123,1,1,4,1,1,27,1,2,1,0,yes,0,1,0,0,female,0
-1,18,2,furniture,1131,1,0,4,1,2,33,1,2,1,0,yes,0,0,1,0,female,0
-1,24,2,furniture,2996,0,2,2,1,4,20,1,2,1,0,yes,0,0,1,0,female,0
2,15,4,television,1271,0,2,3,1,4,39,2,2,1,1,yes,0,0,0,0,male,0
1,18,2,television,1301,1,4,4,0,2,32,1,1,1,0,yes,1,0,0,0,female,1
0,36,2,business,5742,2,3,2,1,2,31,2,2,1,1,yes,0,0,1,0,male,1
0,24,2,television,3621,2,4,2,1,4,31,2,2,1,0,yes,0,0,1,0,male,0
1,18,2,business,4439,1,4,1,0,1,33,1,3,1,1,yes,1,0,0,0,male,1
-1,9,4,repairs,1288,2,4,3,0,4,48,2,2,2,0,no,1,0,0,0,male,1
-1,24,1,car_new,2325,2,3,2,1,3,32,1,2,1,0,yes,0,0,1,0,male,1
-1,48,4,car_used,6143,1,4,4,1,4,58,2,1,1,0,yes,0,0,0,0,female,0
-1,24,1,furniture,3552,1,3,3,1,4,27,1,2,1,0,yes,0,0,1,0,male,0
-1,16,4,car_new,2625,1,4,2,0,4,43,1,2,1,1,yes,0,1,0,1,male,0
-1,48,2,television,6999,1,3,1,0,1,34,2,2,1,1,yes,1,0,0,0,female,0
0,12,2,furniture,763,1,2,4,1,1,26,1,2,1,1,yes,1,0,0,0,female,1
-1,18,2,television,1345,1,2,4,1,3,26,1,2,1,0,yes,1,0,0,0,female,0
-1,42,3,television,4370,1,3,3,1,2,26,2,2,2,1,yes,0,1,0,0,male,0
-1,36,2,car_used,8335,0,4,3,1,4,47,1,2,1,0,yes,0,0,0,0,male,0
0,24,3,car_new,2538,1,4,4,1,4,47,2,1,2,0,yes,0,0,1,0,male,0
0,12,2,television,707,1,2,4,1,2,30,2,2,1,0,yes,1,0,0,0,male,1
0,10,2,education,727,3,4,4,1,4,46,1,2,1,1,yes,0,0,0,0,male,1
0,12,4,car_new,682,2,3,4,1,3,51,2,2,1,1,yes,0,0,1,0,female,1
0,10,4,car_new,1231,1,4,3,1,4,32,2,1,2,0,no,1,0,0,0,male,1
-1,24,2,car_new,1207,1,1,4,1,4,24,1,2,1,0,yes,0,1,0,1,female,0
-1,24,2,television,1987,1,2,2,1,4,21,1,1,2,0,yes,1,0,0,1,male,0
1,54,0,business,15945,1,1,3,1,4,58,1,2,1,1,yes,0,0,0,1,male,0
2,12,2,car_new,1330,1,1,4,1,1,26,1,2,1,0,yes,1,0,0,0,male,1
0,21,4,car_new,12680,0,4,4,1,4,30,1,3,1,1,yes,0,0,0,0,male,0
0,6,2,domestic_appliances,1338,3,2,1,1,4,62,1,2,1,0,yes,1,0,0,0,male,1
0,6,1,car_new,783,0,2,1,0,2,26,1,1,2,0,yes,1,0,0,0,male,1
-1,47,2,car_new,10722,1,1,1,1,1,35,1,1,1,1,yes,1,0,0,0,female,1
0,12,4,business,1185,1,2,3,1,2,27,2,2,1,0,yes,1,0,0,0,female,1
-1,28,2,car_new,4006,1,2,3,1,2,45,1,1,1,0,yes,0,0,1,0,male,0
-1,6,2,car_new,14896,1,4,1,1,4,68,1,3,1,1,yes,0,0,0,0,male,0
1,36,3,business,4455,1,2,2,1,2,30,2,3,1,1,yes,1,0,0,0,male,0
0,18,3,furniture,1808,1,3,4,1,1,22,1,2,1,0,yes,1,0,0,0,female,0
1,15,4,television,1537,0,4,4,0,4,50,2,2,1,1,yes,1,0,0,0,male,1
-1,18,2,television,3509,1,3,4,0,1,25,1,2,1,0,yes,1,0,0,0,female,1
0,12,2,furniture,1574,1,2,4,1,2,50,1,2,1,0,yes,1,0,0,0,male,1
0,21,2,television,3160,0,4,4,1,3,41,1,2,1,1,yes,0,1,0,0,male,1
-1,24,2,television,2439,1,1,4,1,4,35,1,2,1,1,yes,1,0,0,0,female,0
-1,24,2,furniture,2359,2,0,1,1,1,33,1,2,1,0,yes,0,1,0,0,male,0
-1,39,4,furniture,14179,0,3,4,1,4,30,2,3,1,1,yes,0,1,0,0,male,1
0,24,4,business,4526,1,2,3,1,2,74,1,3,1,1,yes,1,0,0,0,male,1
1,60,1,others,14782,2,4,3,1,4,60,2,3,1,1,yes,0,0,0,0,female,0
0,12,4,business,2292,1,0,4,1,2,42,2,3,1,1,yes,0,0,1,0,male,0
0,48,3,television,7238,0,4,3,1,3,32,2,2,2,0,yes,0,0,1,0,male,1
1,27,2,business,3915,1,2,4,1,2,36,1,2,2,1,yes,0,0,1,0,male,0
-1,12,2,television,1680,3,4,3,1,1,35,1,2,1,0,yes,1,0,0,0,female,1
1,36,2,furniture,9034,2,1,4,0,1,29,1,3,1,1,yes,0,0,0,1,male,0
1,24,2,television,2039,1,1,1,1,1,22,1,2,1,1,yes,0,1,0,0,female,0
-1,18,2,car_new,4380,2,2,3,1,4,35,1,1,2,1,yes,0,0,1,0,male,1
0,36,2,car_used,8133,1,2,1,1,2,30,1,2,1,0,yes,0,1,0,0,female,1
-1,6,4,furniture,3384,1,2,1,1,4,44,1,3,1,1,yes,1,0,0,1,male,0
0,18,2,television,1505,1,2,4,1,2,32,1,3,1,1,yes,0,0,0,0,male,1
0,12,2,car_new,640,1,2,4,1,2,49,1,1,1,0,yes,1,0,0,0,male,1
1,36,2,car_new,14318,1,4,4,1,2,57,1,3,1,1,yes,0,0,0,0,male,0
1,36,0,business,1953,1,4,4,1,4,61,1,3,1,1,yes,0,0,0,0,male,0
-1,18,2,furniture,2039,1,2,1,1,4,20,1,2,1,0,yes,1,0,0,1,female,0
1,42,1,car_used,9283,1,0,1,1,2,55,1,3,1,1,yes,0,0,0,0,male,1
0,15,2,domestic_appliances,1262,3,3,4,1,3,36,2,2,1,1,yes,0,1,0,0,male,1
-1,12,2,car_new,900,0,2,4,1,2,23,1,2,1,0,yes,0,0,1,0,female,0
-1,27,0,business,5293,1,0,2,1,4,50,2,2,1,1,yes,0,1,0,0,male,0
0,4,2,furniture,601,1,1,1,1,3,23,1,1,2,0,yes,1,0,0,1,female,1
1,18,2,car_new,1042,0,2,4,1,2,33,1,2,1,0,yes,0,1,0,0,female,0
0,24,4,television,2872,2,4,3,1,4,36,1,2,2,1,yes,1,0,0,0,male,1
0,12,2,car_used,4675,0,1,1,1,4,20,1,2,1,0,yes,0,0,1,1,female,1
0,24,4,furniture,3777,4,2,4,1,4,50,1,2,1,1,yes,1,0,0,0,male,1
